Date,Score,Quality,Sleep_duration,Bedtime,Type,Activity_distance,Activity_calories,Duration,Activity_average_heart_rate,Activity_maximum_heart_rate,Aerobic_TE,Average_running_cadence,Maximum_running_cadence,Average_pace,Best_pace,Maximum_temperature,Activity_average_respiratory_frequency,Activity_minimum_respiratory_frequency,Activity_maximum_respiratory_frequency,Travel_time,Elapsed_time,Minimum_altitude,Maximum_altitude,Highest_HR,Active_calories,Resting_calories,Total_calories,Awake_time,N_activities,Total_duration,Total_distance,Total_aerobic_TE
2024-03-27,16.0,0.0,1.5,2.4166666666666665,0,4.15,314,20.25,165.0,196.0,3.4,165.0,176.0,4.883333333333333,3.75,29.0,34.0,24.0,43.0,20.23333333333333,20.25,27.0,42,190.0,603,2187,2790,17.21666666666667,1.0,20.25,4.15,3.4
2024-03-26,62.0,1.0,9.616666666666667,23.85,0,5.13,439,34.81666666666667,138.0,174.0,3.3,153.0,177.0,6.783333333333333,3.5,30.0,0.0,0.0,0.0,27.916666666666668,35.266666666666666,37.0,53,168.0,1034,2187,3221,19.933333333333334,1.0,34.81666666666667,5.13,3.3
2024-03-25,87.0,2.0,9.366666666666667,22.916666666666668,4,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,107.0,140,2187,2327,12.433333333333335,0.0,0.0,0.0,0.0
2024-03-24,95.0,3.0,11.616666666666667,22.45,4,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,119.0,775,2187,2962,14.033333333333331,0.0,0.0,0.0,0.0
2024-03-23,29.0,0.0,4.316666666666666,3.4333333333333336,4,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,130.0,1538,2187,3725,17.35,0.0,0.0,0.0,0.0
2024-03-22,46.0,0.0,7.416666666666667,2.9333333333333336,4,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,144.0,2993,2187,5180,17.766666666666666,0.0,0.0,0.0,0.0
2024-03-21,18.0,0.0,2.3833333333333333,4.35,4,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,123.0,970,2187,3157,17.266666666666666,0.0,0.0,0.0,0.0
2024-03-20,40.0,0.0,5.35,2.4166666666666665,4,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,120.0,615,2187,2802,19.633333333333333,0.0,0.0,0.0,0.0
2024-03-19,94.0,3.0,7.816666666666666,22.65,0,10.82,806,54.68333333333333,163.0,194.0,4.4,161.0,179.0,5.05,3.633333333333333,30.0,33.0,21.0,42.0,53.36666666666667,54.68333333333333,32.0,51,191.0,1235,2187,3422,14.849999999999998,1.0,54.68333333333333,10.82,4.4
2024-03-18,89.0,2.0,8.016666666666667,22.53333333333333,0,5.14,368,25.133333333333333,158.0,178.0,3.2,164.0,176.0,4.883333333333333,3.8333333333333335,28.0,31.0,18.0,39.0,25.0,25.133333333333333,40.0,53,173.0,710,2187,2897,15.966666666666669,1.0,25.133333333333333,5.14,3.2
2024-03-15,81.0,2.0,8.833333333333334,22.95,0,2.92,205,16.383333333333333,138.0,170.0,2.2,159.0,232.0,5.6,2.533333333333333,27.0,25.0,17.0,36.0,16.166666666666668,19.566666666666663,38.0,52,223.0,891,2187,3078,16.116666666666667,1.0,16.383333333333333,2.92,2.2
2024-03-14,82.0,2.0,8.0,22.65,0,8.88,684,45.21666666666667,166.0,194.0,4.2,159.0,209.0,5.083333333333333,3.85,28.0,34.0,23.0,43.0,43.53333333333333,45.21666666666667,34.0,53,187.0,1192,2187,3379,14.483333333333333,1.0,45.21666666666667,8.88,4.2
2024-03-13,71.0,1.0,7.05,23.48333333333333,4,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,127.0,406,2187,2593,16.650000000000002,0.0,0.0,0.0,0.0
2024-03-12,77.0,1.0,7.55,23.23333333333333,4,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,129.0,518,2187,2705,16.383333333333333,0.0,0.0,0.0,0.0
2024-03-11,86.0,2.0,9.283333333333331,21.98333333333333,4,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,115.0,204,2187,2391,15.150000000000002,0.0,0.0,0.0,0.0
2024-03-10,34.0,0.0,6.433333333333334,23.7,4,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,147.0,3803,2187,5990,15.833333333333332,0.0,0.0,0.0,0.0
2024-03-09,27.0,0.0,3.3833333333333333,7.733333333333333,0,4.62,358,23.116666666666667,168.0,192.0,3.5,159.0,179.0,5.0,3.9,29.0,34.0,20.0,43.0,22.4,23.116666666666667,40.0,52,189.0,1312,2187,3499,23.65,1.0,23.116666666666667,4.62,3.5
2024-03-08,87.0,2.0,11.083333333333334,23.5,4,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,105.0,103,2187,2290,12.366666666666667,0.0,0.0,0.0,0.0
2024-03-06,32.0,0.0,4.45,2.833333333333333,4,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,119.0,431,2187,2618,16.25,0.0,0.0,0.0,0.0
2024-03-05,81.0,2.0,9.683333333333334,22.866666666666667,0,8.26,590,43.15,152.0,184.0,3.5,160.0,219.0,5.216666666666667,3.3166666666666664,28.0,30.0,18.0,39.0,42.4,43.15,32.0,50,185.0,796,2187,2983,14.516666666666667,1.0,43.15,8.26,3.5
2024-03-04,88.0,2.0,10.166666666666666,22.33333333333333,0,4.53,311,21.95,159.0,189.0,3.3,162.0,188.0,4.85,3.1,28.0,33.0,19.0,40.0,21.516666666666666,21.95,42.0,53,186.0,576,2187,2763,13.633333333333333,1.0,21.95,4.53,3.3
2024-03-03,87.0,2.0,9.133333333333333,23.966666666666665,4,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,144.0,458,2187,2645,15.383333333333333,0.0,0.0,0.0,0.0
2024-03-02,41.0,0.0,7.916666666666667,1.4166666666666667,0,4.73,339,21.98333333333333,170.0,193.0,3.5,164.0,177.0,4.65,2.55,27.0,33.0,22.0,42.0,21.866666666666667,21.98333333333333,45.0,54,189.0,2236,2187,4423,16.25,1.0,21.98333333333333,4.73,3.5
2024-03-01,71.0,1.0,9.833333333333334,22.95,4,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,119.0,328,2187,2515,12.7,0.0,0.0,0.0,0.0
2024-02-29,74.0,1.0,8.033333333333333,23.216666666666665,4,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,124.0,749,2187,2936,13.449999999999998,0.0,0.0,0.0,0.0
2024-02-28,34.0,0.0,6.4,23.683333333333334,4,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,115.0,350,2187,2537,16.016666666666666,0.0,0.0,0.0,0.0
2024-02-27,73.0,1.0,7.483333333333333,23.4,0,4.44,382,25.866666666666667,160.0,192.0,3.5,158.0,177.0,5.833333333333333,4.033333333333333,26.0,32.0,22.0,42.0,25.316666666666663,25.866666666666667,40.0,51,218.0,791,2187,2978,15.4,1.0,25.866666666666667,4.44,3.5
2024-02-26,83.0,2.0,7.25,0.3166666666666666,0,4.24,343,24.7,156.0,185.0,3.2,148.0,202.0,5.833333333333333,2.5666666666666664,25.0,31.0,17.0,41.0,23.25,24.75,44.0,55,179.0,805,2187,2992,16.983333333333334,1.0,24.7,4.24,3.2
2024-02-25,96.0,3.0,8.7,23.05,4,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,150.0,429,2187,2616,15.05,0.0,0.0,0.0,0.0
2024-02-24,31.0,0.0,6.483333333333333,1.8166666666666669,4,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,141.0,3739,2187,5926,17.983333333333334,0.0,0.0,0.0,0.0
2024-02-23,26.0,0.0,4.7,4.616666666666667,4,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,163.0,3148,2187,5335,18.816666666666663,0.0,0.0,0.0,0.0
2024-02-22,16.0,0.0,1.2166666666666668,6.716666666666667,4,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,124.0,545,2187,2732,20.083333333333336,0.0,0.0,0.0,0.0
2024-02-21,75.0,1.0,6.966666666666667,0.2666666666666666,4,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,116.0,763,2187,2950,15.983333333333333,0.0,0.0,0.0,0.0
2024-02-20,86.0,2.0,8.033333333333333,0.0833333333333333,0,8.54,693,51.5,158.0,195.0,3.9,149.0,230.0,6.033333333333333,2.5,27.0,34.0,19.0,44.0,50.25,51.5,27.0,48,190.0,1136,2187,3323,16.416666666666664,1.0,51.5,8.54,3.9
2024-02-19,70.0,1.0,8.233333333333333,23.066666666666663,4,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,177.0,460,2187,2647,14.833333333333334,0.0,0.0,0.0,0.0
2024-02-18,95.0,3.0,8.7,0.0166666666666666,4,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,94.0,12,2187,2199,16.683333333333334,0.0,0.0,0.0,0.0
2024-02-15,56.0,0.0,6.583333333333333,1.2833333333333332,4,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,117.0,401,2187,2588,16.549999999999997,0.0,0.0,0.0,0.0
2024-02-14,57.0,0.0,7.016666666666667,23.75,4,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,117.0,797,2187,2984,15.566666666666666,0.0,0.0,0.0,0.0
2024-02-13,84.0,2.0,8.516666666666667,23.23333333333333,0,8.75,684,54.78333333333333,153.0,189.0,3.6,148.0,225.0,6.266666666666667,3.3833333333333333,27.0,31.0,19.0,41.0,53.13333333333333,54.78333333333333,30.0,51,185.0,1056,2187,3243,15.216666666666669,1.0,54.78333333333333,8.75,3.6
2024-02-12,90.0,3.0,7.883333333333333,23.883333333333333,0,5.88,473,37.083333333333336,148.0,193.0,3.0,156.0,240.0,6.316666666666666,2.7333333333333334,26.0,30.0,21.0,40.0,36.3,37.083333333333336,28.0,47,163.0,923,2187,3110,15.883333333333333,1.0,37.083333333333336,5.88,3.0
2024-02-11,87.0,2.0,9.0,23.416666666666668,4,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,119.0,883,2187,3070,15.566666666666668,0.0,0.0,0.0,0.0
